,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
182,08,08118,Ludwigsburg,3676,55754,26422,7.7,4173,17813,71628,58545,45882,59639
183,08,08119,Rems-Murr-Kreis,3425,54038,25725,8.1,5349,19297,57184,44099,33512,43316
184,08,08121,Heilbronn,3372,64706,32463,11.2,1360,4343,19387,14601,10611,12862
185,08,08125,Heilbronn,3771,55811,25037,7.2,3714,14945,43323,34274,25196,32323
186,08,08126,Hohenlohekreis,3559,54510,24835,6.4,2708,5743,15430,10795,7993,8317
187,08,08127,Schwäbisch Hall,3283,52801,24183,7.1,5510,12695,25637,17742,13380,14675
188,08,08128,Main-Tauber-Kreis,3189,51178,23637,6.3,4590,10100,18240,11327,8218,8587
189,08,08135,Heidenheim,3580,49992,22946,8.4,4703,11236,18016,11192,8061,7552
190,08,08136,Ostalbkreis,3672,53887,25015,7.2,9773,17084,39700,29738,23248,26104
191,08,08211,Baden-Baden,3303,59217,31592,10.1,2648,3858,8093,4983,4166,5644
192,08,08212,Karlsruhe,3682,45975,23029,9.4,4046,14210,55410,39341,23654,20124
193,08,08215,Karlsruhe,3341,53184,24416,7.7,5882,21344,56281,42944,34496,42892
194,08,08216,Rastatt,3764,51312,23731,7.7,3733,13470,32711,21798,16311,18757
195,08,08221,Heidelberg,3718,46830,23872,6.3,2858,5224,23461,16622,16381,17176
196,08,08222,Mannheim,3829,39389,21347,14.0,11880,32787,65238,28459,15561,13710
197,08,08225,Neckar-Odenwald-Kreis,3148,49992,22850,8.0,5156,10820,20777,12331,8544,7918
198,08,08226,Rhein-Neckar-Kreis,3517,53230,25765,8.1,7216,29018,77810,55317,42111,53488
199,08,08231,Pforzheim,3249,46778,23225,14.6,1640,11249,25775,10623,6549,6473
200,08,08235,Calw,3187,50409,24227,8.6,8965,10686,18185,14306,11592,12324
201,08,08236,Enzkreis,3275,57379,26037,7.2,2394,9302,23556,19565,15470,19900
202,08,08237,Freudenstadt,3396,55494,25187,7.6,4404,7060,14902,10647,8308,8161
203,08,08311,Freiburg im Breisgau,3471,43778,22446,8.1,3119,11326,33174,24555,25337,20518
204,08,08315,Breisgau-Hochschwarzwald,3086,54246,25227,7.2,2472,8876,32104,29256,22895,26483
205,08,08316,Emmendingen,3203,52228,23802,7.1,1136,5741,22419,18017,13127,14871
