ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
5358,Düren,941.5,5.65,2.22,0.1,0.0,4.56,2.91,1.17,0.98,0.17,0.21,0.09,0.08,0.18,0.0,57.97,19.79,2.05,0.2,0.04,0.0,0.54,0.18,0.0,0.91,0.0
5362,Rhein-Erft-Kreis,704.7,10.64,6.15,0.05,0.0,3.95,2.93,0.96,1.94,0.29,0.55,0.2,0.34,0.23,0.0,53.52,11.4,4.07,0.0,0.0,0.02,1.45,0.19,0.01,1.1,0.0
5366,Euskirchen,1248.7,4.6,1.25,0.0,0.0,0.27,2.11,0.57,0.69,0.08,0.13,0.07,0.06,0.05,0.0,49.34,37.78,2.08,0.24,0.02,0.01,0.16,0.01,0.0,0.48,0.0
5370,Heinsberg,627.9,9.15,2.86,0.07,0.03,1.28,5.11,1.28,1.21,0.19,0.21,0.07,0.06,0.58,0.0,64.06,10.43,1.89,0.16,0.0,0.01,0.56,0.09,0.0,0.68,0.0
5374,Oberbergischer Kreis,918.8,8.54,2.12,0.0,0.0,0.14,3.17,0.55,0.91,0.16,0.14,0.08,0.03,0.06,0.0,40.01,41.06,1.65,0.01,0.0,0.01,0.16,0.07,0.0,1.13,0.0
5378,Rheinisch-Bergischer Kreis,437.3,15.0,2.13,0.0,0.0,0.0,3.32,0.84,1.36,0.23,0.24,0.12,0.05,0.0,0.0,36.01,37.26,1.79,0.25,0.0,0.01,0.09,0.12,0.0,1.17,0.0
5382,Rhein-Sieg-Kreis,1153.2,10.95,2.52,0.0,0.0,0.36,3.14,0.96,1.41,0.2,0.28,0.09,0.16,0.31,0.0,44.73,30.77,2.24,0.23,0.0,0.01,0.26,0.74,0.01,0.62,0.0
5512,Bottrop,100.6,18.2,6.0,1.04,0.66,0.65,4.08,1.45,4.44,0.74,0.83,0.55,0.53,0.15,0.01,30.48,22.81,4.62,0.52,0.0,0.01,1.11,0.18,0.06,0.89,0.0
5513,Gelsenkirchen,104.9,26.58,14.55,0.0,0.11,0.0,5.21,3.11,10.81,1.73,1.59,1.04,1.13,0.0,0.5,12.18,8.28,8.43,0.0,0.01,0.11,3.34,0.55,0.23,0.48,0.0
5515,Münster,303.3,13.03,4.18,0.0,0.0,0.0,3.92,3.07,3.55,0.19,0.59,0.23,0.41,0.0,0.16,48.1,16.58,2.57,0.84,0.0,0.0,0.94,0.73,0.03,0.88,0.0
5554,Borken,1421.0,5.42,2.68,0.0,0.0,0.04,4.82,0.39,1.11,0.11,0.16,0.08,0.02,0.04,0.0,68.21,14.76,1.11,0.05,0.26,0.08,0.18,0.03,0.0,0.45,0.0
5558,Coesfeld,1112.0,4.18,1.79,0.0,0.0,0.06,3.85,0.37,0.83,0.09,0.1,0.05,0.06,0.05,0.0,70.75,15.51,1.25,0.31,0.01,0.01,0.18,0.21,0.0,0.33,0.0
5562,Recklinghausen,761.3,13.76,5.23,0.26,0.07,0.24,3.75,1.35,2.61,0.5,0.53,0.24,0.26,0.05,0.06,37.18,26.69,3.59,0.33,0.02,0.1,0.98,0.78,0.03,1.39,0.0
5566,Steinfurt,1795.8,6.22,2.39,0.0,0.03,0.23,3.8,0.49,0.83,0.11,0.17,0.09,0.07,0.3,0.02,68.38,14.16,1.59,0.1,0.04,0.0,0.19,0.3,0.01,0.5,0.0
5570,Warendorf,1319.4,4.4,1.69,0.01,0.0,0.19,3.77,0.48,0.84,0.15,0.08,0.05,0.13,0.03,0.0,73.53,12.72,1.23,0.01,0.02,0.0,0.16,0.09,0.0,0.41,0.0
5711,Bielefeld,258.8,21.28,6.22,0.0,0.0,0.04,4.91,2.3,3.98,0.85,0.73,0.25,0.34,0.19,0.0,34.8,20.51,2.98,0.0,0.01,0.0,0.17,0.0,0.0,0.43,0.0
5754,Gütersloh,969.2,7.99,3.48,0.0,0.0,0.09,5.47,0.6,1.15,0.16,0.21,0.08,0.07,0.35,0.0,64.21,13.77,1.34,0.09,0.0,0.0,0.28,0.03,0.0,0.64,0.0
5758,Herford,450.4,15.52,4.27,0.0,0.0,0.08,5.59,0.85,1.29,0.38,0.33,0.08,0.27,0.0,0.0,59.26,8.99,2.37,0.0,0.01,0.0,0.13,0.26,0.02,0.3,0.0
5762,Höxter,1201.4,3.01,1.35,0.0,0.0,0.11,2.19,0.42,0.64,0.08,0.04,0.03,0.07,0.05,0.0,60.37,29.58,1.51,0.0,0.01,0.04,0.07,0.2,0.0,0.24,0.0
