_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
214,08,Baden-Württemberg,08415,Reutlingen,3496,7.8,3704,14238,36209,28566,22665,27033,54317,25102
215,08,Baden-Württemberg,08416,Tübingen,3484,6.0,6524,13012,27661,23002,18007,23225,48791,23930
216,08,Baden-Württemberg,08417,Zollernalbkreis,3261,8.3,7270,13465,22789,16159,13124,14550,56699,26236
217,08,Baden-Württemberg,08421,Ulm,3650,8.3,891,5540,19727,14423,10206,12974,52858,26687
218,08,Baden-Württemberg,08425,Alb-Donau-Kreis,3239,6.3,2830,9654,24587,18618,14640,17462,54165,24277
219,08,Baden-Württemberg,08426,Biberach,3716,6.5,5934,11515,23656,16777,14225,18211,54814,24806
220,08,Baden-Württemberg,08435,Bodenseekreis,3896,7.3,2180,8681,26697,22173,18889,27398,55453,27207
221,08,Baden-Württemberg,08436,Ravensburg,3250,7.0,6682,14735,33787,24398,21855,28991,52639,24175
222,08,Baden-Württemberg,08437,Sigmaringen,3288,9.1,3082,8796,18681,11824,8718,8311,51467,23384
223,09,Freistaat Bayern,09161,Ingolstadt,4635,7.2,1996,7855,16487,12068,11316,17329,50031,24497
224,09,Freistaat Bayern,09162,München,4169,9.0,5704,29352,151977,161041,182680,281801,53288,29432
225,09,Freistaat Bayern,09163,Rosenheim,3291,10.3,679,3665,10882,6617,5082,6356,45238,23788
226,09,Freistaat Bayern,09171,Altötting,3524,6.9,3863,7937,14083,9347,7661,9253,51040,23954
227,09,Freistaat Bayern,09172,Berchtesgadener Land,2923,6.7,3155,7669,15506,7814,7833,10420,47006,23313
228,09,Freistaat Bayern,09173,Bad Tölz-Wolfratshausen,3104,6.7,635,3041,12980,12195,9769,21828,57960,27558
229,09,Freistaat Bayern,09174,Dachau,3085,6.1,548,2584,11528,14219,16330,23996,57569,25900
230,09,Freistaat Bayern,09175,Ebersberg,3103,5.8,315,2008,9685,11308,15147,25989,61899,28087
231,09,Freistaat Bayern,09176,Eichstätt,3219,3.7,2572,4827,10717,10177,11584,18132,57000,25002
232,09,Freistaat Bayern,09177,Erding,2936,6.3,807,3506,11727,11590,12625,20372,57961,25540
