_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
142,06,Hessen,06636,Werra-Meißner,9094,60,3117,393,818,2411,126,877,-99,304,597,391,9186,3147,2180
143,07,Rheinland-Pfalz,07111,Stadt Koblenz,12455,-99,3479,-99,-99,5485,-99,805,222,319,-99,2145,11870,7705,9401
144,07,Rheinland-Pfalz,07131,Ahrweiler,12234,-99,4063,-99,390,4549,-99,566,-99,450,-99,2216,12569,229,2627
145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),12604,-99,4516,-99,-99,2813,-99,2392,-99,337,-99,2546,12972,296,3484
146,07,Rheinland-Pfalz,07133,Bad Kreuznach,16623,10,5523,-99,-99,5118,28,1763,-99,566,-99,3615,16740,195,4732
147,07,Rheinland-Pfalz,07134,Birkenfeld,6908,-99,2538,-99,-99,1982,-99,747,-99,405,-99,1236,6913,27,2146
148,07,Rheinland-Pfalz,07135,Cochem-Zell,4964,12,1889,-99,-99,733,-99,602,-99,275,-99,1453,5855,0,843
149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,20125,-99,7110,-99,-99,5651,-99,1679,-99,615,-99,5070,20808,1378,3538
150,07,Rheinland-Pfalz,07138,Neuwied,19017,-99,6357,-99,-99,4710,412,797,-99,1686,-99,5055,20122,294,6541
151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,10378,-99,3507,-99,360,2276,128,1851,-99,302,-99,1954,10531,26,3029
152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,12108,-99,3978,-99,-99,3824,300,818,-99,376,-99,2812,12224,865,2258
153,07,Rheinland-Pfalz,07143,Westerwaldkreis,19353,-99,7091,-99,-99,4966,-99,832,-99,749,-99,5715,20888,395,4423
154,07,Rheinland-Pfalz,07211,Stadt Trier,11916,-99,3222,-99,568,4782,417,777,-99,466,-99,1684,11501,16374,8248
155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,11155,-99,3761,-99,-99,2825,-99,1558,-99,496,-99,2515,11198,152,2212
156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,10195,-99,3470,-99,-99,3427,-99,-99,34,380,-99,2884,9585,169,1939
157,07,Rheinland-Pfalz,07233,Vulkaneifel,5849,-99,1931,-99,-99,1877,-99,-99,-99,201,-99,1840,5635,0,1462
158,07,Rheinland-Pfalz,07235,Trier-Saarburg,13271,-99,5345,88,-99,4205,-99,779,-99,560,-99,2294,10582,2171,773
159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),7252,-99,1629,-99,-99,2474,425,824,-99,644,-99,1256,6379,446,1429
160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,11821,-99,3151,-99,437,5238,-99,1710,-99,234,-99,1051,9753,17296,6401
161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,8148,-99,1708,-99,421,3167,-99,1468,-99,698,-99,686,5127,57,2558
162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,18604,12,6583,-99,-99,4886,-99,2906,-99,973,-99,3244,18263,6955,12292
163,07,Rheinland-Pfalz,07315,Stadt Mainz,22437,12,6807,-99,259,9053,397,3262,227,372,-99,2048,21362,40521,9030
164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,5124,-99,1730,-99,-99,2674,125,-99,-99,115,-99,480,5453,48,2894
165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,4513,8,1447,31,-99,1934,-99,-99,-99,269,-99,824,4164,23,1727
166,07,Rheinland-Pfalz,07318,Stadt Speyer,8053,21,1700,-99,351,3851,-99,922,105,246,-99,857,6587,543,2049
167,07,Rheinland-Pfalz,07319,Stadt Worms,9031,26,3060,-99,-99,2912,-99,822,-99,221,-99,1990,9182,2938,2874
168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,4187,-99,1114,-99,-99,1972,-99,-99,-99,109,-99,992,3473,153,1294
169,07,Rheinland-Pfalz,07331,Alzey-Worms,13050,-99,4707,-99,-99,3179,-99,1761,-99,260,-99,3143,13685,448,1320
170,07,Rheinland-Pfalz,07332,Bad Dürkheim,11110,-99,4373,-99,-99,2812,-99,1640,-99,426,-99,1859,11547,286,1277
171,07,Rheinland-Pfalz,07333,Donnersbergkreis,8238,-99,2596,-99,-99,2291,-99,1536,-99,466,-99,1349,8659,161,1482
172,07,Rheinland-Pfalz,07334,Germersheim,12213,-99,4614,-99,-99,2545,-99,3073,-99,273,-99,1708,12115,654,1833
173,07,Rheinland-Pfalz,07335,Kaiserslautern,10075,-99,3829,-99,376,1651,384,2389,-99,315,-99,1131,8214,1655,1074
174,07,Rheinland-Pfalz,07336,Kusel,5489,-99,2205,-99,-99,1199,-99,770,-99,216,-99,1099,5533,75,681
175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,9784,-99,3500,-99,-99,3269,-99,-99,-99,260,-99,2755,10546,78,1577
176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,11090,-99,5436,-99,-99,1790,-99,862,-99,97,-99,2905,11084,1188,0
177,07,Rheinland-Pfalz,07339,Mainz-Bingen,22307,-99,7893,-99,-99,7420,-99,3371,-99,570,-99,3053,22794,4518,2851
178,07,Rheinland-Pfalz,07340,Südwestpfalz,6644,-99,2760,-99,-99,499,-99,2211,-99,-99,-99,1174,7145,256,804
179,08,Baden-Württemberg,08111,Stuttgart,59213,554,18272,2456,8800,19853,2672,3378,512,2716,-99,-99,57336,72711,38162
180,08,Baden-Württemberg,08115,Böblingen,39762,320,10797,1308,7847,11137,369,6476,37,1471,-99,-99,39418,3675,12286
181,08,Baden-Württemberg,08116,Esslingen,53355,387,16841,2049,10692,15195,1765,4214,135,2077,-99,-99,55519,16817,13800
182,08,Baden-Württemberg,08117,Göppingen,25431,167,6715,1152,5255,5976,608,4363,65,1130,-99,-99,27119,378,9294
183,08,Baden-Württemberg,08118,Ludwigsburg,56272,406,16857,1115,11920,15954,823,7271,25,1901,-99,-99,57439,10907,11530
184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,42358,277,10523,892,8931,10122,1394,8603,91,1525,-99,-99,44820,3400,13856
185,08,Baden-Württemberg,08121,Heilbronn,15141,86,4098,1057,3096,4080,392,1145,187,1000,-99,-99,15360,5980,14432
