_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
159,159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),23917,9230,7790,3629,2480,526,6294,1104,1000,1321,1672,965,2608
160,160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,57292,29137,17548,5884,3527,573,9992,1884,1652,2054,2366,1600,5585
161,161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,23694,9475,8667,2821,2154,520,5437,937,800,1099,1373,831,2744
162,162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,83334,32980,26151,11713,9559,2317,23757,4273,3994,4970,6252,3509,9381
163,163,07,Rheinland-Pfalz,07315,Stadt Mainz,113272,52025,31627,13975,10691,2911,26075,4805,4300,5381,6674,3693,11009
164,164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,26502,9247,11212,3116,2551,376,6129,1072,978,1245,1653,995,3537
165,165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,22492,10615,7537,2777,1442,121,4315,697,727,909,1030,727,2261
166,166,07,Rheinland-Pfalz,07318,Stadt Speyer,24695,10019,7784,3462,2770,660,6695,1089,1026,1433,1770,1141,2494
167,167,07,Rheinland-Pfalz,07319,Stadt Worms,40505,14553,15067,5759,4298,828,10642,1817,1684,2173,2969,1635,4911
168,168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,17810,6999,6797,2611,1246,157,3934,607,638,798,957,668,2120
169,169,07,Rheinland-Pfalz,07331,Alzey-Worms,57184,11653,27187,11698,5176,1470,17237,2717,2761,3621,4327,2730,8153
170,170,07,Rheinland-Pfalz,07332,Bad Dürkheim,64012,15957,34163,8298,4652,942,13509,2141,2210,2891,3415,2269,9628
171,171,07,Rheinland-Pfalz,07333,Donnersbergkreis,34120,7227,17310,5927,2872,784,9039,1346,1363,1826,2565,1469,4911
172,172,07,Rheinland-Pfalz,07334,Germersheim,56501,13771,22751,11752,6642,1560,18876,2983,2996,3792,4984,2894,7598
173,173,07,Rheinland-Pfalz,07335,Kaiserslautern,55977,17015,30811,5748,1883,520,7627,1229,1215,1552,1902,1277,8192
174,174,07,Rheinland-Pfalz,07336,Kusel,34667,7675,20340,4895,1358,399,5824,834,890,1164,1483,919,5061
175,175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,50224,10762,25406,8654,4276,1126,13176,2036,2135,2755,3439,2039,7513
176,176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,70055,16905,32388,12185,7048,1529,20288,3424,3421,4171,5118,3167,10375
177,177,07,Rheinland-Pfalz,07339,Mainz-Bingen,97526,26592,42989,15346,10806,1793,27160,4224,4419,5772,7224,4399,13754
178,178,07,Rheinland-Pfalz,07340,Südwestpfalz,46380,11174,25089,7345,2186,586,9332,1326,1493,1855,2287,1494,7030
179,179,08,Baden-Württemberg,08111,Stuttgart,314683,137373,89374,34923,41150,9114,88655,16201,14392,18391,22858,12801,32206
180,180,08,Baden-Württemberg,08115,Böblingen,183232,57319,73098,27200,20602,4660,51360,8888,8555,10821,13562,7985,23936
181,181,08,Baden-Württemberg,08116,Esslingen,257130,86713,103204,32377,29276,5118,67835,11136,10750,14221,18926,10794,33758
182,182,08,Baden-Württemberg,08117,Göppingen,122092,37891,51519,16814,13262,2483,32063,5244,5055,6693,8733,5075,16119
183,183,08,Baden-Württemberg,08118,Ludwigsburg,257795,84440,102103,35199,29362,6266,70527,12064,11490,14888,18941,10993,33905
184,184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,202873,67750,79827,26598,24371,4231,55053,8829,8676,11359,15465,8817,26079
185,185,08,Baden-Württemberg,08121,Heilbronn,63194,25286,22686,6989,6887,1346,15844,2808,2574,3350,4327,2431,7732
186,186,08,Baden-Württemberg,08125,Heilbronn,153904,37700,67099,28283,16962,3564,46573,7440,7228,9473,12875,7240,21205
187,187,08,Baden-Württemberg,08126,Hohenlohekreis,51033,13703,21057,10158,4953,1162,15012,2313,2171,3100,4252,2221,6380
188,188,08,Baden-Württemberg,08127,Schwäbisch Hall,89703,25484,35714,17639,8594,2227,26049,4102,4039,5279,7117,3914,10542
